target_country,shock_id,comparison_type,target_profile,other_profile,other_countries,dimension,target_level,other_level,target_minus_other,dimension_relation
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-2-2-1-1,PRT,R&D intensity,4,2,2,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-2-2-1-1,PRT,Human capital,2,1,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-2-2-1-1,PRT,Energy security,3,1,2,target_stronger
FRA,2007,target_vs_dominator,2-2-4-3-3,4-5-5-4-5,DNK,Debt capacity,2,4,-2,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,4-5-5-4-5,DNK,Employment strength,2,5,-3,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,4-5-5-4-5,DNK,R&D intensity,4,5,-1,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,4-5-5-4-5,DNK,Human capital,3,4,-1,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,4-5-5-4-5,DNK,Energy security,3,5,-2,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-5-2-5-5,EST,Debt capacity,2,5,-3,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-5-2-5-5,EST,Employment strength,2,5,-3,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-5-2-5-5,EST,R&D intensity,4,2,2,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-5-2-5-5,EST,Human capital,3,5,-2,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-5-2-5-5,EST,Energy security,3,5,-2,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,2-4-5-5-4,USA,Debt capacity,2,2,0,equal
FRA,2007,target_vs_dominator,2-2-4-3-3,2-4-5-5-4,USA,Employment strength,2,4,-2,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,2-4-5-5-4,USA,R&D intensity,4,5,-1,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,2-4-5-5-4,USA,Human capital,3,5,-2,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,2-4-5-5-4,USA,Energy security,3,4,-1,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-3-4-5-5,CAN,Debt capacity,2,3,-1,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-3-4-5-5,CAN,Employment strength,2,3,-1,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-3-4-5-5,CAN,R&D intensity,4,4,0,equal
FRA,2007,target_vs_dominator,2-2-4-3-3,3-3-4-5-5,CAN,Human capital,3,5,-2,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-3-4-5-5,CAN,Energy security,3,5,-2,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-5-4-4-4,NLD,Debt capacity,2,3,-1,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-5-4-4-4,NLD,Employment strength,2,5,-3,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-5-4-4-4,NLD,R&D intensity,4,4,0,equal
FRA,2007,target_vs_dominator,2-2-4-3-3,3-5-4-4-4,NLD,Human capital,3,4,-1,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-5-4-4-4,NLD,Energy security,3,4,-1,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-3-5-4-4,SWE,Debt capacity,2,3,-1,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-3-5-4-4,SWE,Employment strength,2,3,-1,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-3-5-4-4,SWE,R&D intensity,4,5,-1,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-3-5-4-4,SWE,Human capital,3,4,-1,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-3-5-4-4,SWE,Energy security,3,4,-1,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,1-4-3-5-5,GBR,Debt capacity,2,1,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,1-4-3-5-5,GBR,Employment strength,2,4,-2,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,1-4-3-5-5,GBR,R&D intensity,4,3,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,1-4-3-5-5,GBR,Human capital,3,5,-2,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,1-4-3-5-5,GBR,Energy security,3,5,-2,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-2-5-5-3,FIN,Debt capacity,2,3,-1,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-2-5-5-3,FIN,Employment strength,2,2,0,equal
FRA,2007,target_vs_dominator,2-2-4-3-3,3-2-5-5-3,FIN,R&D intensity,4,5,-1,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-2-5-5-3,FIN,Human capital,3,5,-2,target_weaker
FRA,2007,target_vs_dominator,2-2-4-3-3,3-2-5-5-3,FIN,Energy security,3,3,0,equal
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-4-3-2-4,SVN,Debt capacity,2,5,-3,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-4-3-2-4,SVN,Employment strength,2,4,-2,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-4-3-2-4,SVN,R&D intensity,4,3,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-4-3-2-4,SVN,Human capital,3,2,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-4-3-2-4,SVN,Energy security,3,4,-1,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-5-1-3-3,LTU,Debt capacity,2,5,-3,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-5-1-3-3,LTU,Employment strength,2,5,-3,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-5-1-3-3,LTU,R&D intensity,4,1,3,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-5-1-3-3,LTU,Human capital,3,3,0,equal
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-5-1-3-3,LTU,Energy security,3,3,0,equal
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-5-3-3-1,LUX,Debt capacity,2,5,-3,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-5-3-3-1,LUX,Employment strength,2,5,-3,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-5-3-3-1,LUX,R&D intensity,4,3,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-5-3-3-1,LUX,Human capital,3,3,0,equal
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-5-3-3-1,LUX,Energy security,3,1,2,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,2-4-5-3-2,AUT,Debt capacity,2,2,0,equal
FRA,2007,target_vs_incomparable,2-2-4-3-3,2-4-5-3-2,AUT,Employment strength,2,4,-2,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,2-4-5-3-2,AUT,R&D intensity,4,5,-1,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,2-4-5-3-2,AUT,Human capital,3,3,0,equal
FRA,2007,target_vs_incomparable,2-2-4-3-3,2-4-5-3-2,AUT,Energy security,3,2,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-3-3-1-5,CZE,Debt capacity,2,4,-2,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-3-3-1-5,CZE,Employment strength,2,3,-1,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-3-3-1-5,CZE,R&D intensity,4,3,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-3-3-1-5,CZE,Human capital,3,1,2,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-3-3-1-5,CZE,Energy security,3,5,-2,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-4-2-4-1,IRL,Debt capacity,2,4,-2,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-4-2-4-1,IRL,Employment strength,2,4,-2,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-4-2-4-1,IRL,R&D intensity,4,2,2,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-4-2-4-1,IRL,Human capital,3,4,-1,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-4-2-4-1,IRL,Energy security,3,1,2,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-3-1-2-2,LVA,Debt capacity,2,5,-3,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-3-1-2-2,LVA,Employment strength,2,3,-1,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-3-1-2-2,LVA,R&D intensity,4,1,3,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-3-1-2-2,LVA,Human capital,3,2,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,5-3-1-2-2,LVA,Energy security,3,2,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,1-2-4-4-1,BEL,Debt capacity,2,1,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,1-2-4-4-1,BEL,Employment strength,2,2,0,equal
FRA,2007,target_vs_incomparable,2-2-4-3-3,1-2-4-4-1,BEL,R&D intensity,4,4,0,equal
FRA,2007,target_vs_incomparable,2-2-4-3-3,1-2-4-4-1,BEL,Human capital,3,4,-1,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,1-2-4-4-1,BEL,Energy security,3,1,2,target_stronger
FRA,2007,target_vs_dominated,2-2-4-3-3,2-1-4-2-3,DEU,Debt capacity,2,2,0,equal
FRA,2007,target_vs_dominated,2-2-4-3-3,2-1-4-2-3,DEU,Employment strength,2,1,1,target_stronger
FRA,2007,target_vs_dominated,2-2-4-3-3,2-1-4-2-3,DEU,R&D intensity,4,4,0,equal
FRA,2007,target_vs_dominated,2-2-4-3-3,2-1-4-2-3,DEU,Human capital,3,2,1,target_stronger
FRA,2007,target_vs_dominated,2-2-4-3-3,2-1-4-2-3,DEU,Energy security,3,3,0,equal
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-1-3-3-1,ESP,Debt capacity,2,4,-2,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-1-3-3-1,ESP,Employment strength,2,1,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-1-3-3-1,ESP,R&D intensity,4,3,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-1-3-3-1,ESP,Human capital,3,3,0,equal
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-1-3-3-1,ESP,Energy security,3,1,2,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,3-1-1-2-4,POL,Debt capacity,2,3,-1,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,3-1-1-2-4,POL,Employment strength,2,1,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,3-1-1-2-4,POL,R&D intensity,4,1,3,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,3-1-1-2-4,POL,Human capital,3,2,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,3-1-1-2-4,POL,Energy security,3,4,-1,target_weaker
FRA,2007,target_vs_dominated,2-2-4-3-3,2-2-2-1-3,HUN,Debt capacity,2,2,0,equal
FRA,2007,target_vs_dominated,2-2-4-3-3,2-2-2-1-3,HUN,Employment strength,2,2,0,equal
FRA,2007,target_vs_dominated,2-2-4-3-3,2-2-2-1-3,HUN,R&D intensity,4,2,2,target_stronger
FRA,2007,target_vs_dominated,2-2-4-3-3,2-2-2-1-3,HUN,Human capital,3,1,2,target_stronger
FRA,2007,target_vs_dominated,2-2-4-3-3,2-2-2-1-3,HUN,Energy security,3,3,0,equal
FRA,2007,target_vs_incomparable,2-2-4-3-3,1-3-2-1-2,ITA,Debt capacity,2,1,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,1-3-2-1-2,ITA,Employment strength,2,3,-1,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,1-3-2-1-2,ITA,R&D intensity,4,2,2,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,1-3-2-1-2,ITA,Human capital,3,1,2,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,1-3-2-1-2,ITA,Energy security,3,2,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-1-1-1-2,SVK,Debt capacity,2,4,-2,target_weaker
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-1-1-1-2,SVK,Employment strength,2,1,1,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-1-1-1-2,SVK,R&D intensity,4,1,3,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-1-1-1-2,SVK,Human capital,3,1,2,target_stronger
FRA,2007,target_vs_incomparable,2-2-4-3-3,4-1-1-1-2,SVK,Energy security,3,2,1,target_stronger
FRA,2007,target_vs_dominated,2-2-4-3-3,1-1-1-2-2,GRC,Debt capacity,2,1,1,target_stronger
FRA,2007,target_vs_dominated,2-2-4-3-3,1-1-1-2-2,GRC,Employment strength,2,1,1,target_stronger
FRA,2007,target_vs_dominated,2-2-4-3-3,1-1-1-2-2,GRC,R&D intensity,4,1,3,target_stronger
FRA,2007,target_vs_dominated,2-2-4-3-3,1-1-1-2-2,GRC,Human capital,3,2,1,target_stronger
FRA,2007,target_vs_dominated,2-2-4-3-3,1-1-1-2-2,GRC,Energy security,3,2,1,target_stronger
FRA,2007,target_vs_dominated,2-2-4-3-3,1-2-2-1-1,PRT,Debt capacity,2,1,1,target_stronger
FRA,2007,target_vs_dominated,2-2-4-3-3,1-2-2-1-1,PRT,Employment strength,2,2,0,equal
FRA,2007,target_vs_dominated,2-2-4-3-3,1-2-2-1-1,PRT,R&D intensity,4,2,2,target_stronger
FRA,2007,target_vs_dominated,2-2-4-3-3,1-2-2-1-1,PRT,Human capital,3,1,2,target_stronger
FRA,2007,target_vs_dominated,2-2-4-3-3,1-2-2-1-1,PRT,Energy security,3,1,2,target_stronger
ITA,2007,target_vs_dominator,1-3-2-1-2,4-5-5-4-5,DNK,Debt capacity,1,4,-3,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,4-5-5-4-5,DNK,Employment strength,3,5,-2,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,4-5-5-4-5,DNK,R&D intensity,2,5,-3,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,4-5-5-4-5,DNK,Human capital,1,4,-3,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,4-5-5-4-5,DNK,Energy security,2,5,-3,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,5-5-2-5-5,EST,Debt capacity,1,5,-4,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,5-5-2-5-5,EST,Employment strength,3,5,-2,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,5-5-2-5-5,EST,R&D intensity,2,2,0,equal
ITA,2007,target_vs_dominator,1-3-2-1-2,5-5-2-5-5,EST,Human capital,1,5,-4,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,5-5-2-5-5,EST,Energy security,2,5,-3,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,2-4-5-5-4,USA,Debt capacity,1,2,-1,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,2-4-5-5-4,USA,Employment strength,3,4,-1,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,2-4-5-5-4,USA,R&D intensity,2,5,-3,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,2-4-5-5-4,USA,Human capital,1,5,-4,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,2-4-5-5-4,USA,Energy security,2,4,-2,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,3-3-4-5-5,CAN,Debt capacity,1,3,-2,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,3-3-4-5-5,CAN,Employment strength,3,3,0,equal
ITA,2007,target_vs_dominator,1-3-2-1-2,3-3-4-5-5,CAN,R&D intensity,2,4,-2,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,3-3-4-5-5,CAN,Human capital,1,5,-4,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,3-3-4-5-5,CAN,Energy security,2,5,-3,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,3-5-4-4-4,NLD,Debt capacity,1,3,-2,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,3-5-4-4-4,NLD,Employment strength,3,5,-2,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,3-5-4-4-4,NLD,R&D intensity,2,4,-2,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,3-5-4-4-4,NLD,Human capital,1,4,-3,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,3-5-4-4-4,NLD,Energy security,2,4,-2,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,3-3-5-4-4,SWE,Debt capacity,1,3,-2,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,3-3-5-4-4,SWE,Employment strength,3,3,0,equal
ITA,2007,target_vs_dominator,1-3-2-1-2,3-3-5-4-4,SWE,R&D intensity,2,5,-3,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,3-3-5-4-4,SWE,Human capital,1,4,-3,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,3-3-5-4-4,SWE,Energy security,2,4,-2,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,1-4-3-5-5,GBR,Debt capacity,1,1,0,equal
ITA,2007,target_vs_dominator,1-3-2-1-2,1-4-3-5-5,GBR,Employment strength,3,4,-1,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,1-4-3-5-5,GBR,R&D intensity,2,3,-1,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,1-4-3-5-5,GBR,Human capital,1,5,-4,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,1-4-3-5-5,GBR,Energy security,2,5,-3,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,3-2-5-5-3,FIN,Debt capacity,1,3,-2,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,3-2-5-5-3,FIN,Employment strength,3,2,1,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,3-2-5-5-3,FIN,R&D intensity,2,5,-3,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,3-2-5-5-3,FIN,Human capital,1,5,-4,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,3-2-5-5-3,FIN,Energy security,2,3,-1,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,5-4-3-2-4,SVN,Debt capacity,1,5,-4,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,5-4-3-2-4,SVN,Employment strength,3,4,-1,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,5-4-3-2-4,SVN,R&D intensity,2,3,-1,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,5-4-3-2-4,SVN,Human capital,1,2,-1,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,5-4-3-2-4,SVN,Energy security,2,4,-2,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,5-5-1-3-3,LTU,Debt capacity,1,5,-4,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,5-5-1-3-3,LTU,Employment strength,3,5,-2,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,5-5-1-3-3,LTU,R&D intensity,2,1,1,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,5-5-1-3-3,LTU,Human capital,1,3,-2,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,5-5-1-3-3,LTU,Energy security,2,3,-1,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,5-5-3-3-1,LUX,Debt capacity,1,5,-4,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,5-5-3-3-1,LUX,Employment strength,3,5,-2,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,5-5-3-3-1,LUX,R&D intensity,2,3,-1,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,5-5-3-3-1,LUX,Human capital,1,3,-2,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,5-5-3-3-1,LUX,Energy security,2,1,1,target_stronger
ITA,2007,target_vs_dominator,1-3-2-1-2,2-4-5-3-2,AUT,Debt capacity,1,2,-1,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,2-4-5-3-2,AUT,Employment strength,3,4,-1,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,2-4-5-3-2,AUT,R&D intensity,2,5,-3,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,2-4-5-3-2,AUT,Human capital,1,3,-2,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,2-4-5-3-2,AUT,Energy security,2,2,0,equal
ITA,2007,target_vs_dominator,1-3-2-1-2,4-3-3-1-5,CZE,Debt capacity,1,4,-3,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,4-3-3-1-5,CZE,Employment strength,3,3,0,equal
ITA,2007,target_vs_dominator,1-3-2-1-2,4-3-3-1-5,CZE,R&D intensity,2,3,-1,target_weaker
ITA,2007,target_vs_dominator,1-3-2-1-2,4-3-3-1-5,CZE,Human capital,1,1,0,equal
ITA,2007,target_vs_dominator,1-3-2-1-2,4-3-3-1-5,CZE,Energy security,2,5,-3,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,4-4-2-4-1,IRL,Debt capacity,1,4,-3,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,4-4-2-4-1,IRL,Employment strength,3,4,-1,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,4-4-2-4-1,IRL,R&D intensity,2,2,0,equal
ITA,2007,target_vs_incomparable,1-3-2-1-2,4-4-2-4-1,IRL,Human capital,1,4,-3,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,4-4-2-4-1,IRL,Energy security,2,1,1,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,2-2-4-3-3,FRA,Debt capacity,1,2,-1,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,2-2-4-3-3,FRA,Employment strength,3,2,1,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,2-2-4-3-3,FRA,R&D intensity,2,4,-2,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,2-2-4-3-3,FRA,Human capital,1,3,-2,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,2-2-4-3-3,FRA,Energy security,2,3,-1,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,5-3-1-2-2,LVA,Debt capacity,1,5,-4,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,5-3-1-2-2,LVA,Employment strength,3,3,0,equal
ITA,2007,target_vs_incomparable,1-3-2-1-2,5-3-1-2-2,LVA,R&D intensity,2,1,1,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,5-3-1-2-2,LVA,Human capital,1,2,-1,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,5-3-1-2-2,LVA,Energy security,2,2,0,equal
ITA,2007,target_vs_incomparable,1-3-2-1-2,1-2-4-4-1,BEL,Debt capacity,1,1,0,equal
ITA,2007,target_vs_incomparable,1-3-2-1-2,1-2-4-4-1,BEL,Employment strength,3,2,1,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,1-2-4-4-1,BEL,R&D intensity,2,4,-2,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,1-2-4-4-1,BEL,Human capital,1,4,-3,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,1-2-4-4-1,BEL,Energy security,2,1,1,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,2-1-4-2-3,DEU,Debt capacity,1,2,-1,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,2-1-4-2-3,DEU,Employment strength,3,1,2,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,2-1-4-2-3,DEU,R&D intensity,2,4,-2,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,2-1-4-2-3,DEU,Human capital,1,2,-1,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,2-1-4-2-3,DEU,Energy security,2,3,-1,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,4-1-3-3-1,ESP,Debt capacity,1,4,-3,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,4-1-3-3-1,ESP,Employment strength,3,1,2,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,4-1-3-3-1,ESP,R&D intensity,2,3,-1,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,4-1-3-3-1,ESP,Human capital,1,3,-2,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,4-1-3-3-1,ESP,Energy security,2,1,1,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,3-1-1-2-4,POL,Debt capacity,1,3,-2,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,3-1-1-2-4,POL,Employment strength,3,1,2,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,3-1-1-2-4,POL,R&D intensity,2,1,1,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,3-1-1-2-4,POL,Human capital,1,2,-1,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,3-1-1-2-4,POL,Energy security,2,4,-2,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,2-2-2-1-3,HUN,Debt capacity,1,2,-1,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,2-2-2-1-3,HUN,Employment strength,3,2,1,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,2-2-2-1-3,HUN,R&D intensity,2,2,0,equal
ITA,2007,target_vs_incomparable,1-3-2-1-2,2-2-2-1-3,HUN,Human capital,1,1,0,equal
ITA,2007,target_vs_incomparable,1-3-2-1-2,2-2-2-1-3,HUN,Energy security,2,3,-1,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,4-1-1-1-2,SVK,Debt capacity,1,4,-3,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,4-1-1-1-2,SVK,Employment strength,3,1,2,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,4-1-1-1-2,SVK,R&D intensity,2,1,1,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,4-1-1-1-2,SVK,Human capital,1,1,0,equal
ITA,2007,target_vs_incomparable,1-3-2-1-2,4-1-1-1-2,SVK,Energy security,2,2,0,equal
ITA,2007,target_vs_incomparable,1-3-2-1-2,1-1-1-2-2,GRC,Debt capacity,1,1,0,equal
ITA,2007,target_vs_incomparable,1-3-2-1-2,1-1-1-2-2,GRC,Employment strength,3,1,2,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,1-1-1-2-2,GRC,R&D intensity,2,1,1,target_stronger
ITA,2007,target_vs_incomparable,1-3-2-1-2,1-1-1-2-2,GRC,Human capital,1,2,-1,target_weaker
ITA,2007,target_vs_incomparable,1-3-2-1-2,1-1-1-2-2,GRC,Energy security,2,2,0,equal
